rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
130,490.0,0.4346938775510204,0.4448979591836735,0.7,0.4448979591836735,0.7,0.0,213.0,218.0,343.0,218.0,343.0,0.0,7,6.906794039405213,5.791153184196652,5.694161365409306,1623.6983939568595,True,03b603bf
131,490.0,0.3193877551020408,0.4448979591836735,0.4782312925170068,0.4448979591836735,0.4782312925170068,0.0,156.5,218.0,234.33333333333334,218.0,234.33333333333334,0.0,6,6.8482565709184655,6.115644083510817,6.049705789753893,1554.3751758352064,True,ae563b55
132,435.0,0.55,0.5862068965517241,0.41379310344827586,0.5862068965517241,0.41379310344827586,0.0,239.25000000000003,254.99999999999997,180.0,254.99999999999997,180.0,0.0,7,6.642543079259212,5.759739260083266,5.697420626680358,1573.4917307217952,True,a6bbceee
133,435.0,0.44329501915708813,0.5862068965517241,0.41379310344827586,0.5862068965517241,0.41379310344827586,0.0,192.83333333333334,254.99999999999997,180.0,254.99999999999997,180.0,0.0,5,6.579046202161862,5.870779022388984,5.870779022388984,1627.0443515355396,True,00d1165a
134,490.0,0.20408163265306123,0.4448979591836735,0.5891156462585034,0.4448979591836735,0.5891156462585034,0.0,100.0,218.0,288.6666666666667,218.0,288.6666666666667,0.0,6,6.311717315054011,5.8853471289811425,5.821075531984708,1547.7768630987453,True,30fe794e
135,435.0,0.3365900383141763,0.47126436781609193,0.41379310344827586,0.47126436781609193,0.41379310344827586,0.0,146.41666666666669,205.0,180.0,205.0,180.0,0.0,5,6.269960447144513,5.787582536554256,5.787582536554256,1523.0972936250691,True,49532e53
136,435.0,0.22988505747126436,0.47126436781609193,0.5091954022988505,0.47126436781609193,0.5091954022988505,0.0,100.0,205.0,221.49999999999997,205.0,221.49999999999997,0.0,5,6.217066949018317,6.057433346287414,6.057433346287414,1500.2071426617943,True,d6044d20
137,435.0,0.22988505747126436,0.5287356321839081,0.5091954022988505,0.5287356321839081,0.5091954022988505,0.0,100.0,230.0,221.49999999999997,230.0,221.49999999999997,0.0,5,6.212064495313143,5.803181981994247,5.803181981994247,1514.882261416622,True,44fc4b77
138,435.0,0.3365900383141763,0.5287356321839081,0.41379310344827586,0.5287356321839081,0.41379310344827586,0.0,146.41666666666669,230.0,180.0,230.0,180.0,0.0,5,6.155766449589919,5.517018813220589,5.517018813220589,1536.9235172650046,True,99cea758
139,435.0,0.22988505747126436,0.5862068965517241,0.5091954022988505,0.5862068965517241,0.5091954022988505,0.0,100.0,254.99999999999997,221.49999999999997,254.99999999999997,221.49999999999997,0.0,5,5.935364670486251,5.413659467660464,5.413659467660464,1528.8570513807972,True,39161464
140,435.0,0.3365900383141763,0.5862068965517241,0.41379310344827586,0.5862068965517241,0.41379310344827586,0.0,146.41666666666669,254.99999999999997,180.0,254.99999999999997,180.0,0.0,5,5.839162919756518,6.042288526776004,6.042288526776004,1546.838738624339,True,1ad388ff
141,490.0,0.20408163265306123,0.3673469387755102,0.5891156462585034,0.3673469387755102,0.5891156462585034,0.0,100.0,180.0,288.6666666666667,180.0,288.6666666666667,0.0,5,5.64217002038049,5.6984042739379355,5.6984042739379355,1682.2560846797546,True,353fe6c2
142,490.0,0.20408163265306123,0.4448979591836735,0.4782312925170068,0.4448979591836735,0.4782312925170068,0.0,100.0,218.0,234.33333333333334,218.0,234.33333333333334,0.0,5,5.595902477314894,6.275955429487429,6.275955429487429,1629.9956214934282,True,75329f7c
143,490.0,0.20408163265306123,0.5224489795918368,0.4782312925170068,0.5224489795918368,0.4782312925170068,0.0,100.0,256.0,234.33333333333334,256.0,234.33333333333334,0.0,5,5.5397812770352175,6.017888313807443,6.017888313807443,1650.392767074311,True,b8661b4a
144,490.0,0.3193877551020408,0.4448979591836735,0.3673469387755102,0.4448979591836735,0.3673469387755102,0.0,156.5,218.0,180.0,218.0,180.0,0.0,5,5.466149164021317,5.966840829423348,5.966840829423348,1652.7825864259664,True,007bc179
145,435.0,0.22988505747126436,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.0,100.0,180.0,180.0,180.0,180.0,0.0,4,5.2684385741872575,6.101416042178819,6.078720950142112,1577.717923781348,True,8a279dc7
